hsa00010	Glycolysis / Gluconeogenesis	10327,124,125,126,127,128,130,130589,131,160287,1737,1738,2023,2026,2027,217,218,219,2203,221,222,223,224,226,229,230,2538,2597,26330,2645,2821,3098,3099,3101,387712,3939,3945,3948,441531,501,5105,5106,5160,5161,5162,5211,5213,5214,5223,5224,5230,5232,5236,5313,5315,55276,55902,57818,669,7167,80201,83440,84532,8789,92483,92579,9562
hsa00020	Citrate cycle (TCA cycle)	1431,1737,1738,1743,2271,3417,3418,3419,3420,3421,4190,4191,47,48,4967,50,5091,5105,5106,5160,5161,5162,55753,6389,6390,6391,6392,8801,8802,8803
hsa00030	Pentose phosphate pathway	132158,2203,221823,226,229,22934,230,2539,25796,2821,414328,51071,5211,5213,5214,5226,5236,55276,5631,5634,6120,64080,6888,7086,729020,8277,84076,8789,9104,9563
hsa00040	Pentose and glucuronate interconversions	10327,10720,10941,231,27294,2990,51084,51181,54490,54575,54576,54577,54578,54579,54600,54657,54658,54659,55277,57016,574537,6120,6652,729020,729920,7358,7360,7363,7364,7365,7366,7367,79799,9365,9942
hsa00051	Fructose and mannose metabolism	197258,2203,226,229,230,231,26007,2762,29925,29926,3098,3099,3101,3795,4351,5207,5208,5209,5210,5211,5213,5214,5372,5373,55556,57016,57103,6652,7167,7264,80201,8789,8790
hsa00052	Galactose metabolism	130589,231,2538,2548,2582,2584,2592,2595,2645,2683,2717,2720,3098,3099,3101,3906,3938,5211,5213,5214,5236,55276,57016,57818,6476,7360,80201,8704,8972,92579,93432
hsa00053	Ascorbate and aldarate metabolism	10327,10720,10941,217,219,223,224,2990,501,54490,54575,54576,54577,54578,54579,54600,54657,54658,54659,55586,574537,7358,7363,7364,7365,7366,7367,79799,9104,9365
hsa00061	Fatty acid biosynthesis	109703458,197322,2180,2181,2182,2194,23205,23305,27349,31,32,51102,51703,54995,55301,7923,81616,84869
hsa00062	Fatty acid elongation	10449,10965,11332,117145,122970,1892,201562,284486,3030,3032,3033,401494,51102,51144,51495,54898,5538,60481,641371,64834,6785,79071,79993,83401,9200,9374,9524
hsa00071	Fatty acid degradation	10449,10455,113612,124,125,126,126129,127,128,130,131,1374,1375,1376,1632,1892,1962,217,2180,2181,2182,219,223,224,23205,23305,2639,30,3030,3032,3033,33,34,35,36,37,38,39,501,51,51703,81616,8310
hsa00100	Steroid biosynthesis	1056,10682,120227,1591,1594,1595,1717,1718,2222,3930,3988,4047,50814,51478,6307,6309,6646,6713,7108,8435
hsa00120	Primary bile acid biosynthesis	10005,10858,10998,1109,1581,1582,1593,23600,3295,51302,570,6342,6718,80270,8309,9023,9420
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	10229,154807,1728,2677,27235,3242,51004,51805,6898,79001,84274
hsa00140	Steroid hormone biosynthesis	100861540,10720,10941,1109,1312,1543,1544,1545,1551,1571,1576,1577,1581,1583,1584,1585,1586,1588,1589,1645,1646,220074,3283,3284,3290,3291,3292,3293,3294,374875,412,51144,51478,54490,54575,54576,54577,54578,54579,54600,54657,54658,54659,574537,6715,6716,6718,6783,6820,7363,7364,7365,7366,7367,79154,7923,79644,79799,8630,8644,9420
hsa00190	Oxidative phosphorylation	100532726,10063,10312,10476,10632,10975,125965,126328,127124,1327,1329,1337,1339,1340,1345,1346,1347,1349,1350,1351,1352,1353,1355,1537,155066,170712,23545,245972,245973,27068,27089,29796,341947,374291,440567,4508,4509,4512,4513,4514,4519,4535,4536,4537,4538,4539,4540,4541,4694,4695,4696,4697,4698,4700,4701,4702,4704,4705,4706,4707,4708,4709,4710,4711,4712,4713,4714,4715,4716,4717,4718,4719,4720,4722,4723,4724,4725,4726,4728,4729,4731,479,495,496,498,506,50617,509,51079,513,51382,514,515,516,51606,517,518,521,522,523,525,526,527,528,529,533,534,535,537,539,54205,54539,5464,55967,56901,6389,6390,6391,6392,64077,7381,7384,7385,7386,7388,84701,8992,90423,9114,9167,9296,9377,9550,9551
hsa00220	Arginine biosynthesis	100526760,1373,137362,162417,27165,2744,2746,2747,2752,2805,2806,2875,383,384,435,445,4842,4843,4846,5009,84706,95
hsa00230	Purine metabolism	100,100526794,10201,102157402,10606,107,108,10846,109,111,11164,112,113,114,115,122481,122622,124583,131870,132,144811,158,158067,159,1633,1716,196883,203,204,205,221264,221823,2272,22875,22978,2618,26289,270,271,27115,272,2766,284958,2977,2982,2983,2984,2986,2987,29922,3000,30833,318,3251,353,3614,3615,3704,374659,377841,471,4830,4831,4832,4833,4860,4881,4882,4907,50484,50808,50940,51020,51292,5136,5137,5138,5139,5140,5141,5142,5143,5144,5145,5146,5147,5148,5149,5150,5151,5152,5153,5158,5167,5169,51816,5198,5236,53343,5471,55276,55811,55821,5631,5634,56953,56985,58497,6240,6241,646625,654364,7498,84284,84618,8622,8654,8833,9060,9061,93034,953,954,955,956,957,9583,9615
hsa00232	Caffeine metabolism	10,1544,1548,1549,7498,9
hsa00240	Pyrimidine metabolism	100526794,10201,115024,124583,129607,1503,151531,1633,1635,1723,1806,1807,1841,1854,1890,221264,22978,284958,29922,30833,318,377841,4830,4831,4832,4833,4907,50484,51020,51251,5167,5169,51727,51733,54963,56474,56953,6240,6241,654364,7083,7084,7298,7371,7372,7378,790,79077,83549,84618,8623,93034,953,955,956,957,9583,978
hsa00250	Alanine, aspartate and glutamate metabolism	122622,1373,137362,158,159,18,189,2346,2571,2572,259307,2673,27165,2744,2746,2747,2752,2805,2806,284716,2875,339983,435,440,443,445,5471,56954,57494,64902,790,7915,80150,84706,8528,8659,9945
hsa00260	Glycine, serine and threonine metabolism	102724560,10993,113675,132158,1491,1610,1738,1757,189,211,212,23464,2593,26227,2628,2653,27232,2731,275,29958,29968,314,4128,4129,441531,501,51268,5223,5224,55349,5723,635,63826,6470,6472,64902,669,8639,875,9380
hsa00270	Cysteine and methionine metabolism	102724560,1036,10768,10993,113675,137362,144811,1491,160287,1786,1788,1789,191,23382,23743,259307,262,26227,2729,2730,27430,2805,2806,2937,29968,3939,3945,3948,4143,4144,4190,4191,4357,4507,4548,51074,55256,56267,58478,586,587,635,64902,6611,6723,6898,7263,84245,875,883,92483
hsa00280	Valine, leucine and isoleucine degradation	10449,11112,1629,1738,18,1892,1962,197322,217,219,223,224,259307,26275,27034,30,3028,3030,3032,3033,3155,3157,3158,316,34,35,36,3712,38,39,4329,4594,501,5019,5095,5096,54511,549,56922,586,587,593,594,64064,64087,64902,65985,84693
hsa00290	Valine, leucine and isoleucine biosynthesis	10993,113675,586,587
hsa00310	Lysine degradation	10157,10919,11105,123688,150572,1738,1743,1892,1962,2122,2145,2146,217,219,223,224,23067,23127,2639,29072,3030,3033,38,387893,39,4297,501,51111,51166,51268,5351,5352,54904,55217,55526,55870,55904,56950,56979,58508,63976,6419,64324,64754,6839,7468,7799,79709,79723,79813,79823,8085,80854,83852,8424,84444,84787,85007,8985,93166,9739,9757,9869
hsa00330	Arginine and proline metabolism	102724788,112483,112817,112849,113451,1152,1158,1159,1160,137362,1610,217,219,223,224,2593,26,262,2628,2805,2806,283208,29920,383,384,4128,4129,4842,4843,4846,4942,4953,501,5033,51056,54498,548596,55748,5625,57571,5831,5832,58510,6303,65263,6611,6723,79814,84735,8659,8974
hsa00340	Histidine metabolism	10841,131669,138199,144193,217,218,219,221,222,223,224,26,3034,3067,3176,4128,4129,443,501,55748,57571,84735
hsa00350	Tyrosine metabolism	124,125,126,127,128,130,131,1312,137362,1621,1638,1644,218,2184,220074,221,222,259307,2805,2806,2954,3081,314,316,3242,4128,4129,4282,5409,6898,7054,7173,7299,7306,81889,8639
hsa00360	Phenylalanine metabolism	137362,1644,218,221,222,259307,2805,2806,314,3242,4128,4129,4282,5053,6898,8639
hsa00380	Tryptophan metabolism	11185,121278,125061,130013,15,1543,1544,1545,1644,169355,1738,1743,1892,1962,217,219,223,224,23498,259307,26,2639,3030,3033,316,3620,38,39,4128,4129,438,501,51166,55526,56267,64577,6999,7166,847,8564,883,8942
hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	137362,259307,2805,2806,5053,6898
hsa00410	beta-Alanine metabolism	18,1806,1807,1892,1962,217,218,219,221,222,223,224,23417,2571,2572,26275,3030,314,339896,35,4329,501,51,51380,51733,54498,55748,57571,8310,84735,8639
hsa00430	Taurine and hypotaurine metabolism	1036,124975,2326,2327,2328,2329,2330,2571,2572,2678,2686,2687,339896,51380,570,84890
hsa00440	Phosphonate and phosphinate metabolism	10390,5130,56994,5833,85465,9468
hsa00450	Selenocompound metabolism	10587,11185,114112,118672,1491,22928,22929,4141,4548,51091,51540,56267,7296,883,9060,9061,92935
hsa00470	D-Amino acid metabolism	1610,27165,2744,63826,80017,8528
hsa00480	Glutathione metabolism	10314,119391,124975,221357,2539,257202,2678,2686,2687,26873,2729,2730,27306,2876,2877,2878,2879,2880,2882,290,2936,2937,2938,2939,2940,2941,2944,2946,2947,2948,2949,2950,2952,2953,3417,3418,373156,4257,4258,4259,493869,494143,4953,50484,51056,51060,51471,5226,6240,6241,653689,6611,6723,79017,79094,9027,9446,9588
hsa00500	Starch and sucrose metabolism	11181,178,2538,2548,2595,2632,2645,276,277,278,279,280,2821,283209,2992,2997,2998,3098,3099,3101,5167,5169,5236,55276,57733,57818,5834,5836,5837,6476,7360,80201,8908,8972,92579,93432
hsa00510	N-Glycan biosynthesis	10195,10905,11253,11282,11320,144245,146664,152586,1603,1650,1798,199857,201595,22845,23193,2530,25834,2683,29880,29929,3703,4121,4122,4124,4245,4247,4248,4249,440138,54344,56052,57134,57171,6184,6185,6480,7841,79053,79087,79644,79796,79868,7991,84620,84920,85365,8703,8704,8813,8818
hsa00511	Other glycan degradation	10825,129807,175,23324,2517,2519,2629,2720,284004,3073,3074,4123,4125,4126,4758,4759,57704,64772
hsa00512	Mucin type O-glycan biosynthesis	100528030,10331,10610,11226,11227,114805,117248,168391,192134,256435,2589,2590,2591,26290,2650,27090,29071,374378,442117,50614,51301,51809,55568,55808,56913,57452,63917,64409,6482,6483,728819,79623,79695,8693,9245,9334
hsa00513	Various types of N-glycan biosynthesis	10195,10905,11253,11282,11320,152586,1603,1650,199857,201595,2530,25834,2683,283358,284004,3073,3074,338707,3703,4121,4122,4124,4245,4247,440138,56052,57134,6184,6185,64377,6487,79087,79796,79868,7991,83539,85365,8703,8704
hsa00514	Other types of O-glycan biosynthesis	100528030,10585,11226,11227,114805,117248,145173,152002,168391,23127,23275,23509,2589,2590,2591,26290,2683,283464,285203,29071,29954,374378,3955,4242,442117,50614,51809,55568,56913,56983,57452,5986,63917,64409,6480,6487,727936,728819,79623,79695,79709,84620,8473,8693,8703,8704,8985
