GeneSet_ID	N	M	n	m	p_value	FDR_q_value
hsa00010	15500	1730	100	23	0.000538407701144011	0.004070362220648723
hsa00052	15500	1730	100	23	0.000538407701144011	0.004070362220648723
hsa00100	15500	1730	100	0	1.0	1.0
hsa00190	15500	1730	300	0	1.0	1.0
hsa00230	15500	1730	100	21	0.0030568943903051767	0.015204027362307327
hsa00240	15500	1730	400	70	8.498569748318227e-05	0.0010038935515200905
hsa00260	15500	1730	100	21	0.0030568943903051767	0.015204027362307327
hsa00480	15500	1730	200	34	0.008158205436550596	0.03585815877925727
hsa00512	15500	1730	100	0	1.0	1.0
hsa00520	15500	1730	200	24	0.38495880746698846	1.0
hsa00532	15500	1730	200	0	1.0	1.0
hsa00561	15500	1730	100	1	0.9999930382302135	1.0
hsa00564	15500	1730	100	1	0.9999930382302135	1.0
hsa00590	15500	1730	100	1	0.9999930382302135	1.0
hsa00600	15500	1730	100	0	1.0	1.0
hsa00601	15500	1730	100	0	1.0	1.0
hsa00630	15500	1730	100	21	0.0030568943903051767	0.015204027362307327
hsa00670	15500	1730	200	19	0.8043147498713273	1.0
hsa00760	15500	1730	200	9	0.9997562280007805	1.0
hsa00770	15500	1730	100	0	1.0	1.0
hsa00790	15500	1730	200	12	0.9957847086839963	1.0
hsa00983	15500	1730	300	45	0.024014548367983342	0.0986684704684533
hsa01040	15500	1730	100	2	0.9999049403461466	1.0
hsa01100	15500	1730	2400	169	0.9999999999999196	1.0
hsa01200	15500	1730	100	21	0.0030568943903051767	0.015204027362307327
hsa01212	15500	1730	100	2	0.9999049403461466	1.0
hsa01232	15500	1730	400	70	8.498569748318227e-05	0.0010038935515200905
hsa01240	15500	1730	400	37	0.9076765745581339	1.0
hsa01250	15500	1730	100	11	0.5677994904287123	1.0
hsa01521	15500	1730	100	0	1.0	1.0
hsa01522	15500	1730	100	0	1.0	1.0
hsa01523	15500	1730	300	26	0.9344916168624892	1.0
hsa01524	15500	1730	200	24	0.38495880746698846	1.0
hsa02010	15500	1730	100	4	0.9970766896198584	1.0
hsa03008	15500	1730	1800	263	1.0474918349626779e-06	1.799781425526783e-05
hsa03010	15500	1730	1700	256	1.1757811743479932e-07	2.469140466130786e-06
hsa03018	15500	1730	200	14	0.9821773431167317	1.0
hsa03030	15500	1730	400	63	0.002968903147133063	0.015204027362307327
hsa03060	15500	1730	100	23	0.000538407701144011	0.004070362220648723
hsa03250	15500	1730	500	51	0.776037658138752	1.0
hsa03320	15500	1730	200	15	0.9673241102698558	1.0
hsa03410	15500	1730	100	20	0.006711807797087406	0.03093979691828097
hsa03450	15500	1730	100	20	0.006711807797087406	0.03093979691828097
hsa03460	15500	1730	100	15	0.14423611850259035	0.5056332019403806
hsa04010	15500	1730	200	14	0.9821773431167317	1.0
hsa04012	15500	1730	100	0	1.0	1.0
hsa04014	15500	1730	100	0	1.0	1.0
hsa04015	15500	1730	200	0	1.0	1.0
hsa04020	15500	1730	200	9	0.9997562280007805	1.0
hsa04060	15500	1730	300	40	0.13358580523127553	0.4855330228598284
hsa04061	15500	1730	100	0	1.0	1.0
hsa04062	15500	1730	200	45	3.0157083800092175e-06	4.071206313012444e-05
hsa04064	15500	1730	100	23	0.000538407701144011	0.004070362220648723
hsa04066	15500	1730	200	0	1.0	1.0
hsa04068	15500	1730	400	32	0.9859331976503826	1.0
hsa04071	15500	1730	100	0	1.0	1.0
hsa04072	15500	1730	100	0	1.0	1.0
hsa04080	15500	1730	300	13	0.9999934348159039	1.0
hsa04110	15500	1730	1400	199	0.00013181378953337931	0.0014654591895181584
hsa04114	15500	1730	700	100	0.005392876420557743	0.02613470880731829
hsa04115	15500	1730	400	68	0.00025571608224559826	0.002543702081285162
hsa04120	15500	1730	400	30	0.9946716788792502	1.0
hsa04137	15500	1730	100	0	1.0	1.0
hsa04141	15500	1730	600	91	0.001379576916893974	0.007901213251301852
hsa04142	15500	1730	200	32	0.0229637406880213	0.09863970431900058
hsa04145	15500	1730	500	27	0.9999981550281307	1.0
hsa04150	15500	1730	100	1	0.9999930382302135	1.0
hsa04151	15500	1730	300	12	0.9999979424478943	1.0
hsa04152	15500	1730	300	17	0.9996843531819216	1.0
hsa04210	15500	1730	200	31	0.03668686263514004	0.13867634076082935
hsa04215	15500	1730	200	31	0.03668686263514004	0.13867634076082935
hsa04217	15500	1730	400	92	6.620208179298547e-12	1.787456208410608e-10
hsa04218	15500	1730	700	91	0.06650555560292785	0.24646176488143853
hsa04330	15500	1730	200	22	0.5627728284078597	1.0
hsa04360	15500	1730	100	0	1.0	1.0
hsa04380	15500	1730	400	45	0.5014113695295331	1.0
hsa04390	15500	1730	100	13	0.32291312198150146	1.0
hsa04510	15500	1730	200	0	1.0	1.0
hsa04512	15500	1730	200	15	0.9673241102698558	1.0
hsa04514	15500	1730	200	21	0.6508923675914322	1.0
hsa04540	15500	1730	300	15	0.9999474950961537	1.0
hsa04550	15500	1730	100	10	0.6910350570297239	1.0
hsa04610	15500	1730	200	23	0.4726237555869938	1.0
hsa04611	15500	1730	100	0	1.0	1.0
hsa04613	15500	1730	1300	64	1.0	1.0
hsa04614	15500	1730	200	14	0.9821773431167317	1.0
hsa04620	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04621	15500	1730	1500	261	1.8656512424017176e-14	5.87680141356541e-13
hsa04622	15500	1730	200	46	1.2342363630878795e-06	1.9439222718634105e-05
hsa04623	15500	1730	200	48	1.90368724751724e-07	3.597968897807584e-06
hsa04625	15500	1730	200	45	3.0157083800092175e-06	4.071206313012444e-05
hsa04630	15500	1730	300	45	0.024014548367983342	0.0986684704684533
hsa04640	15500	1730	500	24	0.9999998836440946	1.0
hsa04650	15500	1730	100	0	1.0	1.0
hsa04657	15500	1730	200	26	0.23205302861576285	0.7831789715781997
hsa04658	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04659	15500	1730	200	34	0.008158205436550596	0.03585815877925727
hsa04666	15500	1730	100	0	1.0	1.0
hsa04668	15500	1730	100	0	1.0	1.0
hsa04672	15500	1730	200	40	0.00017150294505805937	0.0018007809231096236
hsa04714	15500	1730	300	0	1.0	1.0
hsa04722	15500	1730	100	0	1.0	1.0
hsa04723	15500	1730	200	0	1.0	1.0
hsa04724	15500	1730	100	0	1.0	1.0
hsa04726	15500	1730	100	0	1.0	1.0
hsa04727	15500	1730	100	0	1.0	1.0
hsa04810	15500	1730	200	0	1.0	1.0
hsa04910	15500	1730	100	0	1.0	1.0
hsa04914	15500	1730	700	85	0.2152734902231226	0.7397579936758213
hsa04915	15500	1730	100	12	0.44103532705790216	1.0
hsa04917	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04918	15500	1730	100	12	0.44103532705790216	1.0
hsa04919	15500	1730	300	23	0.9830243691117065	1.0
hsa04921	15500	1730	100	9	0.7986815538340253	1.0
hsa04932	15500	1730	200	0	1.0	1.0
hsa04933	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04934	15500	1730	100	0	1.0	1.0
hsa04935	15500	1730	100	22	0.0013178577828438709	0.007783597529921612
hsa04936	15500	1730	200	3	0.9999999843897063	1.0
hsa04970	15500	1730	200	18	0.8637386467394222	1.0
hsa04972	15500	1730	100	9	0.7986815538340253	1.0
hsa04973	15500	1730	100	13	0.32291312198150146	1.0
hsa04974	15500	1730	200	1	0.9999999999553572	1.0
hsa04975	15500	1730	100	4	0.9970766896198584	1.0
hsa04979	15500	1730	200	4	0.9999998631620621	1.0
hsa05010	15500	1730	800	23	1.0	1.0
hsa05012	15500	1730	600	17	0.9999999999999968	1.0
hsa05014	15500	1730	400	0	1.0	1.0
hsa05016	15500	1730	400	0	1.0	1.0
hsa05020	15500	1730	400	0	1.0	1.0
hsa05022	15500	1730	700	17	1.0	1.0
hsa05034	15500	1730	800	28	0.9999999999999999	1.0
hsa05120	15500	1730	100	0	1.0	1.0
hsa05130	15500	1730	100	0	1.0	1.0
