GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa00190	9334	155	20	3	3	0.001872889918430715	0.02746905213698382
hsa00512	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa00532	9334	155	20	2	1	0.24214495182237117	0.33294930875576034
hsa00600	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa00770	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa01100	9334	155	20	24	6	0.06260988231251913	0.19677391583934584
hsa02010	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa03008	9334	155	20	18	1	0.9290626061927594	0.9290626061927594
hsa03018	9334	155	20	2	2	0.015919564306661083	0.05388160226869904
hsa04060	9334	155	20	3	1	0.34121097119199584	0.4289509352127948
hsa04061	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa04066	9334	155	20	2	1	0.24214495182237117	0.33294930875576034
hsa04114	9334	155	20	7	1	0.6275854975802002	0.6903440473382203
hsa04120	9334	155	20	4	2	0.08116267034673105	0.2183622828784119
hsa04141	9334	155	20	6	1	0.5698468150344949	0.6776556719329128
hsa04330	9334	155	20	2	1	0.24214495182237117	0.33294930875576034
hsa04621	9334	155	20	15	1	0.8869457387827775	0.907572383870749
hsa04640	9334	155	20	5	1	0.5036694019628787	0.6155959357324072
hsa04668	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa04714	9334	155	20	3	3	0.001872889918430715	0.02746905213698382
hsa04723	9334	155	20	2	2	0.015919564306661083	0.05388160226869904
hsa04724	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa04727	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa04914	9334	155	20	7	1	0.6275854975802002	0.6903440473382203
hsa04919	9334	155	20	3	1	0.34121097119199584	0.4289509352127948
hsa04932	9334	155	20	2	2	0.015919564306661083	0.05388160226869904
hsa04974	9334	155	20	2	1	0.24214495182237117	0.33294930875576034
hsa04975	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa04979	9334	155	20	2	1	0.24214495182237117	0.33294930875576034
hsa05010	9334	155	20	8	4	0.010279755531515822	0.04523092433866962
hsa05012	9334	155	20	6	4	0.002631527839816667	0.028946806237983336
hsa05014	9334	155	20	4	3	0.006863155819512554	0.03355320622872804
hsa05016	9334	155	20	4	3	0.006863155819512554	0.03355320622872804
hsa05020	9334	155	20	4	3	0.006863155819512554	0.03355320622872804
hsa05022	9334	155	20	7	4	0.005618170843435334	0.03355320622872804
hsa05120	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa05170	9334	155	20	7	1	0.6275854975802002	0.6903440473382203
hsa05171	9334	155	20	11	1	0.7929758904518944	0.8307366471400799
hsa05200	9334	155	20	9	1	0.7217333079915305	0.7745430622348132
hsa05208	9334	155	20	4	3	0.006863155819512554	0.03355320622872804
hsa05211	9334	155	20	1	1	0.12903225806451613	0.2183622828784119
hsa05321	9334	155	20	2	1	0.24214495182237117	0.33294930875576034
hsa05415	9334	155	20	3	3	0.001872889918430715	0.02746905213698382
hsa05417	9334	155	20	3	1	0.34121097119199584	0.4289509352127948
hsa00230	84057	155	20	1	1	0.12903225806451613	0.2516129032258065
hsa00240	84057	155	20	4	3	0.006863155819512554	0.029740341884554402
hsa00480	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa00670	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa00983	84057	155	20	3	2	0.0440129130831218	0.1501544808274422
hsa01100	84057	155	20	24	3	0.6335956320332206	0.6863952680359889
hsa01232	84057	155	20	4	3	0.006863155819512554	0.029740341884554402
hsa01523	84057	155	20	3	1	0.34121097119199584	0.39138905519081874
hsa01524	84057	155	20	2	2	0.015919564306661083	0.062086300795978225
hsa03030	84057	155	20	4	3	0.006863155819512554	0.029740341884554402
hsa03410	84057	155	20	1	1	0.12903225806451613	0.2516129032258065
hsa03450	84057	155	20	1	1	0.12903225806451613	0.2516129032258065
hsa03460	84057	155	20	1	1	0.12903225806451613	0.2516129032258065
hsa04010	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa04068	84057	155	20	4	2	0.08116267034673105	0.21102294290150073
hsa04110	84057	155	20	14	9	2.098896817409698e-06	8.185697587897822e-05
hsa04114	84057	155	20	7	5	0.00039154558710266556	0.005090092632334652
hsa04115	84057	155	20	4	4	0.00020946795140343522	0.004084625052366987
hsa04120	84057	155	20	4	2	0.08116267034673105	0.21102294290150073
hsa04152	84057	155	20	3	1	0.34121097119199584	0.39138905519081874
hsa04210	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa04215	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa04218	84057	155	20	7	4	0.005618170843435334	0.029740341884554402
hsa04390	84057	155	20	1	1	0.12903225806451613	0.2516129032258065
hsa04512	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa04540	84057	155	20	3	1	0.34121097119199584	0.39138905519081874
hsa04914	84057	155	20	7	4	0.005618170843435334	0.029740341884554402
hsa05161	84057	155	20	8	2	0.275301508804714	0.37023306356496016
hsa05165	84057	155	20	10	1	0.7598520329241975	0.7798481390537816
hsa05166	84057	155	20	7	4	0.005618170843435334	0.029740341884554402
hsa05169	84057	155	20	11	1	0.7929758904518944	0.7929758904518944
hsa05170	84057	155	20	7	3	0.04620137871613606	0.1501544808274422
hsa05200	84057	155	20	9	2	0.32733957128661284	0.39138905519081874
hsa05202	84057	155	20	8	1	0.6779117816909841	0.7145556617823887
hsa05203	84057	155	20	13	3	0.2245443076114762	0.3372733257525884
hsa05206	84057	155	20	4	2	0.08116267034673105	0.21102294290150073
hsa05207	84057	155	20	5	1	0.5036694019628787	0.5612316193300648
hsa05210	84057	155	20	2	1	0.24214495182237117	0.3372733257525884
hsa05221	84057	155	20	3	1	0.34121097119199584	0.39138905519081874
hsa00230	11004	155	25	1	1	0.16129032258064518	0.30721966205837176
hsa00240	11004	155	25	4	3	0.013473826017519215	0.05988367118897429
hsa00480	11004	155	25	2	1	0.2974444909928782	0.4102682634384527
hsa00670	11004	155	25	2	1	0.2974444909928782	0.4102682634384527
hsa00983	11004	155	25	3	2	0.06785118739577942	0.24673159053010696
hsa01100	11004	155	25	24	3	0.7910522271738003	0.8326865549197898
hsa01232	11004	155	25	4	3	0.013473826017519215	0.05988367118897429
hsa01523	11004	155	25	3	1	0.41224114279142743	0.4711327346187742
hsa01524	11004	155	25	2	2	0.025136154168412233	0.10054461667364893
hsa03030	11004	155	25	4	4	0.0005469080671317762	0.005469080671317761
hsa03410	11004	155	25	1	1	0.16129032258064518	0.30721966205837176
hsa03450	11004	155	25	1	1	0.16129032258064518	0.30721966205837176
hsa03460	11004	155	25	1	1	0.16129032258064518	0.30721966205837176
hsa04010	11004	155	25	2	1	0.2974444909928782	0.4102682634384527
hsa04068	11004	155	25	4	2	0.12222854877403959	0.30721966205837176
hsa04110	11004	155	25	14	12	1.530158514169038e-09	6.120634056676151e-08
hsa04114	11004	155	25	7	6	6.323024419855e-05	0.001264604883971
hsa04115	11004	155	25	4	4	0.0005469080671317762	0.005469080671317761
hsa04120	11004	155	25	4	2	0.12222854877403959	0.30721966205837176
hsa04152	11004	155	25	3	1	0.41224114279142743	0.4711327346187742
hsa04210	11004	155	25	2	1	0.2974444909928782	0.4102682634384527
hsa04215	11004	155	25	2	1	0.2974444909928782	0.4102682634384527
hsa04218	11004	155	25	7	5	0.001261712219408634	0.008411414796057561
hsa04390	11004	155	25	1	1	0.16129032258064518	0.30721966205837176
