GeneSet_ID	N	M	n	m	p_value	FDR_q_value
hsa00010	15500	1730	100	23	0.0005384077011555989	0.004070362220736328
hsa00052	15500	1730	100	23	0.0005384077011555989	0.004070362220736328
hsa00100	15500	1730	100	0	1.0	1.0
hsa00190	15500	1730	300	0	1.0	1.0
hsa00230	15500	1730	100	21	0.0030568943903422933	0.015204027362491934
hsa00240	15500	1730	400	70	8.498569748629187e-05	0.0010038935515568228
hsa00260	15500	1730	100	21	0.0030568943903422933	0.015204027362491934
hsa00480	15500	1730	200	34	0.008158205436598514	0.03585815877946789
hsa00512	15500	1730	100	0	1.0	1.0
hsa00520	15500	1730	200	24	0.38495880747004485	1.0
hsa00532	15500	1730	200	0	1.0	1.0
hsa00561	15500	1730	100	1	0.9999930382503666	1.0
hsa00564	15500	1730	100	1	0.9999930382503666	1.0
hsa00590	15500	1730	100	1	0.9999930382503666	1.0
hsa00600	15500	1730	100	0	1.0	1.0
hsa00601	15500	1730	100	0	1.0	1.0
hsa00630	15500	1730	100	21	0.0030568943903422933	0.015204027362491934
hsa00670	15500	1730	200	19	0.8043147498727408	1.0
hsa00760	15500	1730	200	9	0.9997562280017146	1.0
hsa00770	15500	1730	100	0	1.0	1.0
hsa00790	15500	1730	200	12	0.9957847086848803	1.0
hsa00983	15500	1730	300	45	0.024014548367817922	0.09866847046777365
hsa01040	15500	1730	100	2	0.9999049403662967	1.0
hsa01100	15500	1730	2400	169	0.9999999999935871	1.0
hsa01200	15500	1730	100	21	0.0030568943903422933	0.015204027362491934
hsa01212	15500	1730	100	2	0.9999049403662967	1.0
hsa01232	15500	1730	400	70	8.498569748629187e-05	0.0010038935515568228
hsa01240	15500	1730	400	37	0.9076765745880686	1.0
hsa01250	15500	1730	100	11	0.5677994904397584	1.0
hsa01521	15500	1730	100	0	1.0	1.0
hsa01522	15500	1730	100	0	1.0	1.0
hsa01523	15500	1730	300	26	0.9344916168565496	1.0
hsa01524	15500	1730	200	24	0.38495880747004485	1.0
hsa02010	15500	1730	100	4	0.9970766896399473	1.0
hsa03008	15500	1730	1800	263	1.0474918349608883e-06	1.7997814255237082e-05
hsa03010	15500	1730	1700	256	1.1757811743754193e-07	2.469140466188381e-06
hsa03018	15500	1730	200	14	0.982177343117469	1.0
hsa03030	15500	1730	400	63	0.0029689031472340606	0.015204027362491934
hsa03060	15500	1730	100	23	0.0005384077011555989	0.004070362220736328
hsa03250	15500	1730	500	51	0.7760376581184607	1.0
hsa03320	15500	1730	200	15	0.9673241102704904	1.0
hsa03410	15500	1730	100	20	0.006711807797271064	0.03093979691912759
hsa03450	15500	1730	100	20	0.006711807797271064	0.03093979691912759
hsa03460	15500	1730	100	15	0.14423611850592577	0.5056332019531962
hsa04010	15500	1730	200	14	0.982177343117469	1.0
hsa04012	15500	1730	100	0	1.0	1.0
hsa04014	15500	1730	100	0	1.0	1.0
hsa04015	15500	1730	200	0	1.0	1.0
