GeneSet_ID	gene_ID	N	M	n	m	p_value	FDR_q_value
hsa00230	84057	155	20	1	1	0.12903225806451604	0.2516129032258063
hsa00240	84057	155	20	4	3	0.006863155819512543	0.02974034188455435
hsa00480	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa00670	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa00983	84057	155	20	3	2	0.044012913083121906	0.15015448082744196
hsa01100	84057	155	20	24	3	0.6335956320332191	0.6863952680359874
hsa01232	84057	155	20	4	3	0.006863155819512543	0.02974034188455435
hsa01523	84057	155	20	3	1	0.34121097119199517	0.39138905519081796
hsa01524	84057	155	20	2	2	0.015919564306661076	0.0620863007959782
hsa03030	84057	155	20	4	3	0.006863155819512543	0.02974034188455435
hsa03410	84057	155	20	1	1	0.12903225806451604	0.2516129032258063
hsa03450	84057	155	20	1	1	0.12903225806451604	0.2516129032258063
hsa03460	84057	155	20	1	1	0.12903225806451604	0.2516129032258063
hsa04010	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa04068	84057	155	20	4	2	0.08116267034673084	0.21102294290150017
hsa04110	84057	155	20	14	9	2.0988968174096935e-06	8.185697587897805e-05
hsa04114	84057	155	20	7	5	0.0003915455871026655	0.005090092632334652
hsa04115	84057	155	20	4	4	0.00020946795140343574	0.004084625052366997
hsa04120	84057	155	20	4	2	0.08116267034673084	0.21102294290150017
hsa04152	84057	155	20	3	1	0.34121097119199517	0.39138905519081796
hsa04210	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa04215	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa04218	84057	155	20	7	4	0.005618170843435339	0.02974034188455435
hsa04390	84057	155	20	1	1	0.12903225806451604	0.2516129032258063
hsa04512	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa04540	84057	155	20	3	1	0.34121097119199517	0.39138905519081796
hsa04914	84057	155	20	7	4	0.005618170843435339	0.02974034188455435
hsa05161	84057	155	20	8	2	0.27530150880471366	0.3702330635649597
hsa05165	84057	155	20	10	1	0.7598520329241987	0.7798481390537829
hsa05166	84057	155	20	7	4	0.005618170843435339	0.02974034188455435
hsa05169	84057	155	20	11	1	0.7929758904518934	0.7929758904518934
hsa05170	84057	155	20	7	3	0.046201378716135985	0.15015448082744196
hsa05200	84057	155	20	9	2	0.32733957128661256	0.39138905519081796
hsa05202	84057	155	20	8	1	0.6779117816909828	0.7145556617823873
hsa05203	84057	155	20	13	3	0.22454430761147473	0.33727332575258817
hsa05206	84057	155	20	4	2	0.08116267034673084	0.21102294290150017
hsa05207	84057	155	20	5	1	0.5036694019628776	0.5612316193300636
hsa05210	84057	155	20	2	1	0.242144951822371	0.33727332575258817
hsa05221	84057	155	20	3	1	0.34121097119199517	0.39138905519081796
hsa00010	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
hsa00052	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
hsa00240	6773	155	30	4	1	0.5810046506640925	0.6675372582098084
hsa01100	6773	155	30	24	2	0.9715272686173828	0.9839331247404112
hsa01232	6773	155	30	4	1	0.5810046506640925	0.6675372582098084
hsa01240	6773	155	30	4	1	0.5810046506640925	0.6675372582098084
hsa03008	6773	155	30	18	1	0.9839331247404112	0.9839331247404112
hsa03018	6773	155	30	2	2	0.03644742354419779	0.13121072475911205
hsa03250	6773	155	30	5	2	0.24802821410575587	0.43204914715196185
hsa04062	6773	155	30	2	2	0.03644742354419779	0.13121072475911205
hsa04064	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
hsa04141	6773	155	30	6	1	0.7313990078429413	0.8228238838233091
hsa04142	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04210	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04215	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04217	6773	155	30	4	4	0.0011848233659878503	0.00799755772041799
hsa04330	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04380	6773	155	30	4	2	0.16887807754680784	0.3483870967741936
hsa04514	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04550	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
hsa04610	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04620	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
hsa04621	6773	155	30	15	9	0.0002746330215792779	0.0024716971942135013
hsa04622	6773	155	30	2	2	0.03644742354419779	0.13121072475911205
hsa04623	6773	155	30	2	2	0.03644742354419779	0.13121072475911205
hsa04625	6773	155	30	2	2	0.03644742354419779	0.13121072475911205
hsa04630	6773	155	30	3	2	0.096002037178508	0.30494764750820186
hsa04658	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
hsa04659	6773	155	30	2	1	0.35064935064935193	0.4733766233766251
hsa04917	6773	155	30	1	1	0.19354838709677424	0.3483870967741936
