gene1	gene2	correlation
19	19	1.0
19	332	-0.207158
19	351	0.618318
19	513	-0.589517
19	608	0.031278
19	671	-0.095158
19	699	0.282339
19	706	-0.63912
19	710	0.375805
19	734	0.759626
19	820	-0.235335
19	890	0.18305
19	891	0.045823
19	924	-0.437985
19	932	-0.157104
19	952	0.396677
19	983	0.10952
19	990	0.282798
19	991	-0.156524
19	1033	-0.02595
19	1088	-0.062346
19	1118	-0.256649
19	1397	-0.522122
19	1511	-0.262497
19	1667	-0.280713
19	1668	-0.273989
19	1669	-0.21024
19	1718	0.20856
19	1719	0.416786
19	1869	0.025976
19	1950	0.552319
19	1955	0.763318
19	1997	0.843726
19	2162	0.623542
19	2215	0.663945
19	2237	-0.021431
19	2529	-0.330517
19	2537	0.268051
19	2633	0.613544
19	2635	0.604554
19	2731	0.173922
19	3017	0.625406
19	3039	-0.62669
19	3040	-0.623208
19	3043	-0.450304
19	3161	0.197267
19	3429	0.203072
19	3433	0.691506
19	3434	0.520853
19	3437	0.57054
19	3493	-0.169137
19	3494	-0.240636
19	3500	-0.031353
19	3501	-0.142138
19	3502	-0.113235
19	3503	-0.037981
19	3507	-0.116959
19	3512	0.146727
19	3514	-0.065929
19	3537	-0.134654
19	3538	-0.058943
19	3539	-0.117262
19	3656	0.608979
19	3662	0.265601
19	3690	0.460515
19	3832	0.226281
19	3833	-0.055044
19	3925	-0.061113
19	3934	-0.291582
19	3998	0.428421
19	4051	0.617348
19	4057	-0.153736
19	4061	0.123431
19	4171	-0.082519
19	4173	0.246467
19	4175	0.318625
19	4288	0.167057
19	4311	0.70807
19	4317	0.090261
19	4353	-0.150122
19	4599	0.463372
19	4605	-0.095197
19	4680	0.031685
19	4713	-0.604102
19	4938	0.470482
19	4939	0.512918
19	4940	0.5799
19	4973	0.001576
19	5273	-0.003859
19	5414	0.402984
19	5450	0.145986
19	5577	0.593519
19	5610	0.72177
19	5806	0.181748
19	6035	0.264343
19	6036	0.070381
19	6037	-0.244991
19	6241	0.225312
19	6319	0.292941
19	6518	-0.109599
19	6614	0.303628
19	6675	0.356942
19	6678	0.392634
19	6772	0.738642
19	6773	0.58629
19	6782	0.584244
19	6868	0.760869
19	6923	-0.630739
19	6941	0.08311
19	6947	-0.0582
19	7083	-0.316785
19	7153	0.314112
19	7184	0.334782
19	7298	0.056385
19	7345	0.072841
19	8318	0.036601
19	8339	0.574952
19	8343	0.734933
19	8345	0.445211
19	8347	0.754229
19	8348	0.460262
19	8365	0.602696
19	8460	0.283202
19	8638	0.551167
19	8698	-0.576888
19	8809	0.388234
19	8819	0.284216
19	8836	0.209813
19	8876	0.439119
19	8900	0.159067
19	8916	0.811906
19	8926	0.401492
19	8970	0.477212
19	9055	0.135703
19	9133	0.001694
19	9212	-0.199202
19	9232	-0.13771
19	9334	0.710952
19	9381	0.320259
19	9582	0.271493
19	9663	0.719311
19	9697	0.457533
19	9768	0.036748
19	9787	0.169211
19	10024	-0.178813
19	10321	-0.049797
19	10346	0.781244
19	10384	0.559806
19	10403	0.424383
19	10561	0.495313
19	10562	-0.07522
19	10615	0.20425
19	10964	0.506558
19	11004	-0.007883
19	11065	0.184114
19	11119	0.694491
19	11130	0.132823
19	11274	0.399273
19	22885	0.424081
19	22895	0.342742
19	22936	0.497266
19	22974	0.105636
19	23231	0.326373
19	23347	0.864131
19	23389	0.804803
19	23495	-0.073101
19	23531	0.571737
19	23586	0.693339
19	24138	0.675349
19	25832	0.808933
19	28834	-0.177725
19	29028	0.472947
19	29089	-0.073597
19	29126	0.53327
19	29952	-0.493612
19	51053	0.031273
19	51191	0.509243
19	51203	0.282263
19	51237	-0.101985
19	51303	0.060473
19	51439	0.884601
19	51513	0.276531
19	51659	-0.154929
19	51673	-0.198887
19	54407	0.738623
19	54464	0.820874
19	54625	0.705329
19	54739	0.543849
19	54809	0.789305
19	54855	0.222408
19	54877	0.777701
19	54900	0.424734
19	54979	0.027542
19	55008	0.403876
19	55165	0.283509
19	55196	0.807597
19	55350	0.717593
19	55355	0.117229
19	55454	0.614538
19	55507	0.089942
19	55601	0.648678
19	55789	0.204683
19	55790	0.42679
19	57162	0.735775
19	57674	0.707398
19	64105	0.276505
19	64108	0.405353
19	64135	0.631735
19	64151	0.166035
19	64407	0.745402
19	65244	0.286594
19	79056	0.744539
19	79598	0.651555
19	79682	0.235254
19	79801	0.338994
19	79971	0.540382
19	80267	0.814678
19	80315	0.809525
19	80830	0.684678
19	81027	0.664044
19	81030	0.48916
19	81567	0.204143
19	81618	-0.04501
19	83540	0.095218
19	83666	0.780436
19	84057	-0.095544
19	84174	0.378725
19	84333	0.750666
19	85363	0.71831
19	90355	0.224966
19	90701	0.052088
19	91319	-0.143006
19	91543	0.482589
19	92906	0.82411
19	93100	-0.597609
19	94240	0.621702
19	113130	-0.059911
19	114908	0.679328
19	115361	0.55187
19	115362	0.617305
19	116071	0.400626
19	120892	0.836239
19	122509	-0.209292
19	129607	0.555627
19	130589	0.48539
19	135112	0.572696
19	140609	0.814708
19	147339	0.781817
19	147807	-0.587117
19	151636	0.744409
19	153222	0.78619
19	162394	0.514105
19	219285	0.719209
19	219537	0.537838
19	219988	0.839913
19	254225	0.848904
19	257019	0.459864
19	348262	-0.636805
19	374291	-0.565273
19	375298	-0.667183
19	387882	0.368229
19	440068	0.550273
19	441864	-0.022261
19	444882	0.746181
19	445815	0.498358
19	494143	0.312811
19	728358	-0.28303
19	100132406	0.816607
19	100133941	-0.164818
19	100169751	-0.371926
19	100169753	-0.371926
19	100169754	-0.371926
19	100169755	-0.371926
19	100169756	-0.371926
19	100169757	-0.371926
19	100169758	-0.371926
19	100169759	-0.371926
19	100169760	-0.115293
19	100169761	-0.371926
19	100169762	-0.371926
19	100169763	-0.371926
19	100169764	-0.371926
19	100169765	-0.371926
19	100169766	-0.371926
19	100169767	-0.371926
19	100169768	-0.371926
19	100423062	-0.112512
19	100820829	0.308422
19	100913187	0.714059
19	101060226	0.735962
19	109864272	-0.331829
332	332	1.0
332	351	0.058562
332	513	0.276679
332	608	0.587912
332	671	0.39984
332	699	0.732058
332	706	0.271597
332	710	0.057402
332	734	-0.271432
332	820	0.424681
332	890	0.820756
332	891	0.863965
332	924	0.181542
332	932	0.425143
332	952	0.436167
332	983	0.84137
332	990	0.741058
332	991	0.950961
332	1033	0.866498
332	1088	0.443211
332	1118	0.41575
332	1397	-0.023979
332	1511	0.461158
332	1667	0.359674
332	1668	0.3289
332	1669	0.459736
332	1718	0.440977
332	1719	0.44748
332	1869	0.513283
332	1950	0.180788
332	1955	-0.140451
332	1997	-0.182751
332	2162	0.019644
332	2215	-0.245755
332	2237	0.832675
332	2529	0.051404
332	2537	0.02634
332	2633	-0.081109
332	2635	-0.089217
332	2731	0.560536
332	3017	0.090954
332	3039	-0.008561
332	3040	-0.033461
332	3043	-0.071722
332	3161	0.748906
332	3429	0.348924
332	3433	-0.242246
332	3434	-0.072312
332	3437	-0.104557
332	3493	0.55403
332	3494	0.501863
332	3500	0.568736
332	3501	0.524691
332	3502	0.650327
332	3503	0.578145
332	3507	0.474855
332	3512	0.483603
332	3514	0.463402
332	3537	0.508747
332	3538	0.551268
332	3539	0.571859
332	3656	-0.047704
332	3662	0.44979
332	3690	0.193238
332	3832	0.761739
332	3833	0.911427
332	3925	0.803925
332	3934	0.46498
332	3998	0.390406
332	4051	-0.118695
332	4057	0.457681
332	4061	0.166324
332	4171	0.852303
332	4173	0.729898
332	4175	0.569637
332	4288	0.768559
332	4311	-0.047458
332	4317	0.348531
332	4353	0.451397
332	4599	-0.078623
332	4605	0.875029
332	4680	0.38635
332	4713	0.384406
332	4938	-0.038513
332	4939	-0.086656
332	4940	-0.086808
332	4973	0.389363
332	5273	0.338261
332	5414	0.031354
332	5450	0.491927
332	5577	0.096911
332	5610	-0.195585
332	5806	0.378166
332	6035	0.180478
332	6036	0.240372
332	6037	0.411034
332	6241	0.843976
332	6319	0.438657
332	6518	0.705027
332	6614	-0.04892
332	6675	0.468952
332	6678	0.207694
332	6772	-0.139273
332	6773	-0.191983
332	6782	0.202664
332	6868	-0.144673
332	6923	0.270651
332	6941	0.744543
332	6947	0.373851
332	7083	0.921704
332	7153	0.673742
332	7184	0.466112
332	7298	0.893155
332	7345	0.644623
332	8318	0.889302
332	8339	0.167448
332	8343	0.026509
332	8345	0.129921
332	8347	-0.052823
332	8348	0.17066
332	8365	0.104119
332	8460	0.0335
332	8638	-0.036198
332	8698	0.128078
332	8809	0.04013
332	8819	0.117179
332	8836	0.617463
332	8876	-0.00197
332	8900	0.024844
332	8916	-0.205992
332	8926	0.139612
332	8970	0.222558
332	9055	0.700472
332	9133	0.917026
332	9212	0.923128
332	9232	0.898347
332	9334	-0.107286
332	9381	0.000355
332	9582	0.080334
332	9663	-0.180394
332	9697	0.322196
332	9768	0.889105
332	9787	0.805954
332	10024	0.882698
332	10321	0.469163
332	10346	-0.160071
