Gscore	NEA	ROntoTools	SPIA	CePaORA	CePaGSA	PADOG	GSA	GSEA	ORA
2.5	1	6	5	28.5	45	12	11.5	13	5
20	115	60	50	40.5	65	29	113	18.5	96
76	93	46	36	14	78	95	114	25	71
64	101	31	21	17	57	16.5	128	34	89
122.5	92	75	85.5	77	81	75	80	143	82.5
92	122	NA	NA	28	85	116	105.5	146	NA
27	35	109	96	4.5	8.5	42.5	45.5	125	100
33	92	69	20	149.5	125	46	18.5	69	41
71	4	3	5	167	142	7	10	45	2
41	35	102	69	1.5	17	8	27	78	77
30	94	8	7	74	123	33	23.5	78	8
14	48	118	105.5	49	41	62	44.5	79	97.5
9	42	8	12	75	9	24.5	130	93	7
109	60	32	38	70	28	18	100	15	62
6	3	4	5	100	75	34	24	62	6
3	5	3	4	23.5	23	11	9	9	4
7	16	5	5	161	150	11	7.5	14	5
8	113	28	41	18	12.5	117	103.5	29	29
22	44	20	14	133	40	35	125.5	20	2
141.5	106	104	44	82	55	74.5	89	96	79
4	45	42	21	154.5	53	16	7	49	8
91	28	20	10	7.5	80	18	128	53.5	16
59	49	21	10	47.5	19.5	7	12.5	99.5	22
113	107	66	38	117	142.5	12.5	26	95	28
96	117	99	80	48	158	110	50.5	115	96
9	22	18	17	1.5	57	14	142	11	8
27	34	51	38	2.5	41.5	13	25	77	30
34	126	30	73	71	86	54.5	22.5	61	54
43	137	68	79	32	31	47.5	143.5	52	66
144	91	NA	NA	86	116	115	94	115	NA
62	142	NA	NA	27	102	72	26	65	NA
1.5	2	2	2	25	25	17	20.5	60	2
72	64	45	77	176	150	43	115	135	54.5
9	4	2	1	78	104	6	12	53	2
122	93	56	108	124	165	28	47.5	50	85.5
11	22	112	61	19.5	6	11	3	88	92.5
136	27	122	108	72	134.5	49	67.5	107	110
16	36	42	55	140.5	129	68	48	130	55
26	60	105	54	42	41	2.5	12.5	28	83.5
11	142	91	29	57.5	101	3	29.5	54	57.5
107	53	101	51	11.5	75	15	7.5	21	100
98	61	56	47	48	58	79	23.5	22	96
93	28	50	73	129	42	7.5	48.5	105	50
49	76	18	16	72	61	7	136.5	12	81
55	45	NA	NA	5	38	39	101	92	NA
83	69	108	80	18	15.5	18.5	140.5	82	94.5
38	60	71	95	20.5	7	34	128.5	88	93
107	18	95	78	71	156	142	93	111	64.5
91	91	59	51	26.5	6	6	139	46	39
118	70	123	69	114	50	130	28	110	123
4	33	26	23	14	4	3	2	6	17
49	40	NA	NA	100	37	52	31.5	36	NA
17	58	66	54	85	45	86	75.5	78	61
31	35	47	49	22	83	18	37.5	130	40
76	94	83	63	11	82.5	78	73	92	69
89	2	31	43	32	79.5	8	4	133	109
121	104	NA	NA	140	129	102	86	107	NA
48	28	24	26	25	69	23	29.5	96	21.5
77	68	102	110	52	144.5	42.5	143	121	108
16	39	12	37	39	29	7	28.5	37	31.5
25	70	19	28	172	145	12	24	24	17
25	70	19	28	177	146	12	37	25	17
32	79	89	112	94.5	137	67	68.5	89	113
116	122	61	54	153	37.5	97	121.5	20	99
NA	61	NA	NA	141.5	167	83	101.5	83	NA
33	70	20	22	57.5	120	14	53	101	18
62	56	15	31	20	61	35	146.5	3	16
111	143	68	84.5	43	69.5	9	3	25	70.5
3	4	15	70	54	12	16	139	10	38
17	25	10	23	64	92	38	15	18	11
119	87	77	91	131	142	114.5	60	131	79
15	26	30	59	8.5	36	38	113.5	57.5	47
24	50	98	57	137.5	131	92.5	60	11	65
35	47	81	66	85.5	80	6.5	126.5	84	74
47	22	76	71	35	49	94.5	99	50	60.5
