	Gscore_fdrq	NEA	ROntoTools	SPIA	PADOG	GSA	GSEA	ORA
hsa00010	11.81272443	19.9785671	3.53948563	0	0	0.750943194	1.06032076	2.431479857
hsa00020	15.11657947	2.612333441	0.511175574	0	0	0	0.248167005	0.488924328
hsa00030	8.077867409	2.432278408	0.42402028	0	0	0.337679554	0.1849485	0
hsa00190	31.45412189	0	0.510684819	0	0	0	0	0
hsa00250	4.983073476	36.61047278	2.64699614	0	0.428199104	0.418302815	0	3.545158125
hsa00260	17.61897112	18.39682972	4.328376895	0	0	0.418302815	0.4118053	5.566814225
hsa00330	1.659474832	35.29830028	4.961328016	0	0	0.356829398	0.429784771	5.978565707
hsa00564	5.707766267	39.09166492	0	0	0	0.337679554	0.375071159	0.842987117
hsa00980	16.66190598	115.7991674	10.75400589	0	0	0.337679554	1.399097152	10.32407905
hsa01212	14.61026222	11.8230856	0	0	0	0.83660563	0.635466384	1.022484233
hsa03022	1.696520824	0	0	0	0	0	0.215533038	0
hsa03320	15.38825881	37.85021489	9.272025401	7.47678218	0.761686424	1.254908446	2.204582477	8.26335069
hsa04010	83.98296637	114.7829453	3.227489229	3.54376143	0	0.750943194	1.309750955	2.793757667
hsa04020	70.00768513	126.0597697	14.23423383	19.59636827	0	1.254908446	2.045364519	17.3364694
hsa04024	26.10899408	117.4572084	9.582786152	9.610103198	0	0.418302815	2.285646726	10.456167
hsa04060	37.73700116	136.6465671	10.82066617	14.05575561	0	0	0	13.74698284
hsa04062	74.61919163	94.69906291	5.534084814	5.71381964	0	0	0.18488508	4.162106137
hsa04064	70.68888236	37.59281691	0.412378371	0.713034511	0	0	0	0.52333896
hsa04066	50.91574166	60.45214849	0.975732266	0.504382878	0	0	0.804027077	0.630850457
hsa04110	61.18967767	79.74395931	7.687719828	6.618615309	1.51372809	0	5.000302975	8.190543654
hsa04115	31.30859452	78.9812203	3.025928271	2.742159084	0.783050694	0	3.023336665	3.637589031
hsa04142	26.59078482	5.159386654	0	0	0	0	0	0
hsa04150	19.79538213	19.72855497	0.452776525	0.834260226	0	0	0.476967352	0
hsa04151	103.0553922	108.3814747	8.923383881	10.40276796	0	0	1.01158959	7.483758009
hsa04210	40.50472078	52.03362627	0.863998925	0	0	0	0.18946422	0.512678224
hsa04310	36.69311346	91.01709328	3.160704778	3.489936227	0	0	0.891442264	4.446983743
hsa04330	23.98385058	0	0	0	0	0	0	0
hsa04340	50.43333182	5.973996339	0.52768501	0	0	0.332640378	1.824739471	0
hsa04350	29.51400861	64.45175303	0.553495117	1.729277554	0	0	0.785605842	1.10025134
hsa04370	31.42240223	51.49921198	0	0	0	0	0.225742553	0
hsa04510	112.3687236	94.70634113	8.340510415	10.32676171	0	0	0.886838025	8.315406641
hsa04512	82.42230114	133.2211955	14.52380735	16.20650605	0	0	0	15.94285093
hsa04514	97.9950846	115.6774808	0	0	0	0	0.216555764	14.64118226
hsa04520	66.46738322	63.68703916	0	0	0	0	0	0
hsa04620	44.00354083	73.67250654	0	0	0	0	0	0
hsa04630	54.69181926	91.88909997	0	0	0	0	0	0.489959002
hsa04660	50.01010763	55.65392034	0	0	0	0	0	0
hsa04662	67.93151189	54.3103414	0	0	0	0	0	0
hsa04810	104.8464741	35.22286756	2.336116416	2.164181911	0	0	0.716837293	0.487393478
hsa04915	21.28773848	83.12415311	0	0.504139717	0	0	0.682488201	0
hsa05160	3.23845058	26.3128726	0	0	0	0	0.479493995	0
hsa05161	41.64407053	91.73789304	0	0	0	0	0.181206136	0
hsa05165	65.31605553	97.13897469	1.200035356	1.64845937	0	0	0.44065019	1.550243742
hsa05166	78.85826444	106.7670937	0.510684819	1.606007286	0	0	0.512994646	1.106369857
hsa05167	58.68948874	93.56901135	0	0	0	0	0.179771112	0
hsa05169	65.04541382	25.73779536	0.462732993	1.054293412	0	0	0.18946422	0.564698381
hsa05200	89.65649988	151.2235945	11.53688085	10.73932899	0	0	0	10.01231486
hsa05202	53.2931806	109.7600886	4.545042437	4.595512346	0	0	0	5.351259168
hsa05203	13.14902138	44.99665499	0.574205189	0	0	0	2.574819017	0
hsa05204	8.597559904	120.974931	7.146338725	0	0	0.337679554	1.463488158	6.542941097
hsa05205	87.21808837	100.8859411	6.963703713	7.595637784	0	0.418302815	1.154756205	6.491093679
hsa05206	82.94440411	111.8144375	8.045468365	8.761544915	1.817860656	0	0.828025978	8.774844486
hsa05207	15.61769212	132.2763498	8.898079193	7.115198575	0	0	1.91606219	7.64132693
hsa05208	18.68869958	8.87486872	0	0	0	0	0.1849485	0
hsa05210	6.324220325	97.64859098	0	0	0.730677396	0	0	0
hsa05211	18.62737639	31.514068	0	0	0	0	0.185507471	0
hsa05214	43.45829855	77.35737335	0	0	0.674927429	0	0	0
hsa05215	75.47380433	104.4951599	1.390651638	0.509025451	0.41225583	0	0	0.569907424
hsa05216	5.048071248	61.76365726	0	0	0	0	0.301393334	0
hsa05219	7.121508148	52.12394436	0	0	0	0	1.288752453	0
hsa05221	76.20650111	89.86836493	0	0	0	0	0	0
hsa05222	27.26780337	93.49109773	3.766281833	3.682192229	0	0	0.626884991	2.760006908
hsa05223	20.45180707	72.47267696	0	0	0	0	0.363022554	0.440914293
hsa05224	32.77696071	118.8113004	2.291029505	2.270890543	0	0	0.558823353	1.51514574
hsa05225	14.12724606	80.35558878	0.845342426	0.502474292	0	0	0.440221934	0
hsa05226	18.92278232	105.7144955	3.91879154	2.863121513	0	0	0.498233374	2.60642914
hsa05230	37.94397679	57.98144236	1.951534833	1.911902045	0	0	0.428681115	1.106198461
hsa05231	30.20714244	90.97551602	0	0	0	0	1.244237709	0
hsa05235	55.69355509	51.1441127	0	0	0	0	0	0
