KEGG_ID	KEGG_Name	methods	BLCA	KICH	PRAD	BRCA	KIRC	READ	COAD	STAD	LIHC	THCA	LUAD	UCEC	HNSC	LUSC	CESC	CHOL	metaz
hsa00010	Glycolysis / Gluconeogenesis	Gscore_fdrq	0	0	0	0	0	0	0	0	38.40506144	0	2.50355784	0	0	0	0	6.342278429	11.81272443
hsa00020	Citrate cycle (TCA cycle)	Gscore_fdrq	0	24.81060095	0	0	0	0	0	0	23.3042914	1.812157158	0	0	0	0	0	10.53926836	15.11657947
hsa00030	Pentose phosphate pathway	Gscore_fdrq	0	0	10.57256074	0	0	0	0	0	19.59077109	0	0	0	2.148137814	0	0	0	8.077867409
hsa00190	Oxidative phosphorylation	Gscore_fdrq	0	38.40506144	0	0	30.64998815	0	0	0	0	0	0	38.40506144	2.387699602	0	0	15.96867692	31.45412189
hsa00250	Alanine, aspartate and glutamate metabolism	Gscore_fdrq	2.331377868	0	0	0	0	0	0	0	7.868050561	0	0	0	0	0	0	9.732865474	4.983073476
hsa00260	Glycine, serine and threonine metabolism	Gscore_fdrq	0	0	6.536433017	0	0	0	0	0	33.93797348	0	0	0	0	0	2.564507077	27.43697089	17.61897112
hsa00330	Arginine and proline metabolism	Gscore_fdrq	0	6.63789933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.659474832
hsa00564	Glycerophospholipid metabolism	Gscore_fdrq	0	0	0	0	10.7554412	0	0	0	0	0	0	0	12.07562387	0	0	0	5.707766267
hsa00980	Metabolism of xenobiotics by cytochrome P450	Gscore_fdrq	0	0	0	0	0	0	0	0	13.07276261	27.23539633	1.935286321	0	0	0	0	24.40417866	16.66190598
hsa01212	Fatty acid metabolism	Gscore_fdrq	0	12.82754679	0	0	0	0	0	0	38.40506144	0	0	0	0	0	0	7.208440637	14.61026222
hsa03022	Basal transcription factors	Gscore_fdrq	0	6.786083298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.696520824
hsa03320	PPAR signaling pathway	Gscore_fdrq	0	0	0	0	0	0	0	0	38.40506144	0	0	0	0	0	0	23.14797381	15.38825881
hsa04010	MAPK signaling pathway	Gscore_fdrq	34.69848159	38.40506144	38.40506144	23.57088751	3.031758009	38.40506144	38.40506144	38.40506144	0	0	0	0	22.82376493	38.40506144	21.37660482	0	83.98296637
hsa04020	Calcium signaling pathway	Gscore_fdrq	38.40506144	0	38.40506144	0	0	38.40506144	38.40506144	38.40506144	0	0	0	0	38.40506144	11.19531045	38.40506144	0	70.00768513
hsa04024	cAMP signaling pathway	Gscore_fdrq	5.080244961	0	5.404432526	0	0	14.37090492	27.39578237	38.40506144	0	0	0	0	7.645423011	0	6.134127088	0	26.10899408
hsa04060	Cytokine-cytokine receptor interaction	Gscore_fdrq	6.178832149	0	0	0	38.40506144	15.28407591	24.16215671	0	0	26.45859179	2.0542252	0	0	38.40506144	0	0	37.73700116
hsa04062	Chemokine signaling pathway	Gscore_fdrq	38.40506144	32.63598486	0	6.63431226	38.40506144	38.40506144	38.40506144	0	0	23.69564477	30.45425109	0	0	38.40506144	13.03126635	0	74.61919163
hsa04064	NF-kappa B signaling pathway	Gscore_fdrq	18.71775235	38.40506144	8.702279344	7.065781912	38.40506144	38.40506144	38.40506144	0	0	34.49763676	9.90138267	11.84538924	0	38.40506144	0	0	70.68888236
hsa04066	HIF-1 signaling pathway	Gscore_fdrq	22.10266044	38.40506144	35.47544046	16.98506331	0	21.97487457	38.40506144	0	0	0	4.67821257	0	12.18740393	0	6.418591657	7.030596838	50.91574166
