dataset	DEG_num	pathway*DEG	Gscore_enriched	Gscore_nonenriched	NEA_enriched	NEA_nonenriched	Rontotools_enriched	Rontotools_nonenriched	SPIA_enriched	SPIA_nonenriched	Gscore_enriched_%	NEA_enriched_%	Rontotools_enriched_%	SPIA_enriched_%	mean_enrichedpath_Gscore	mean_enrichedpath_NEA	mean_enrichedpath_Rontotools	mean_enrichedpath_SPIA
BLCA	4289	1488283	18491	1469792	85047	1403236	3702	1484581	5077	1483206	0.012424384340881405	0.05714437375149753	0.0024874301460138964	0.0034113135740984745	4.311261366285848	19.829097691769643	0.8631382606668221	1.1837258102121706
BRCA	4248	1474056	11774	1462282	82244	1391812	3949	1470107	5112	1468944	0.007987484871673804	0.055794352453366766	0.002679002697319505	0.0034679822204855175	2.7716572504708097	19.360640301318266	0.9296139359698682	1.2033898305084745
CESC	4149	1439703	9452	1430251	78106	1361597	3711	1435992	4915	1434788	0.006565242970251503	0.05425146714287599	0.0025776149664201576	0.0034138985610226553	2.278139310677272	18.82525909857797	0.8944323933477947	1.1846228006748614
CHOL	6479	2248213	21766	2226447	121830	2126383	5413	2242800	6766	2241447	0.009681467014024028	0.054189705334859284	0.002407690018694848	0.003009501323940392	3.3594690538663374	18.803827751196174	0.8354684364871122	1.044296959407316
COAD	4819	1672193	43522	1628671	95522	1576671	4312	1667881	5686	1666507	0.026026900004963542	0.05712378894063066	0.0025786497132807037	0.0034003252016962158	9.03133430172235	19.82195476239884	0.8947914505084043	1.179912844988587
HNSC	3566	1237402	17169	1220233	66137	1171265	2782	1234620	3856	1233546	0.013875038184842113	0.053448273075362734	0.0022482588520141393	0.0031162063743229765	4.814638250140213	18.546550757150868	0.7801458216489063	1.0813236118900729
KICH	5717	1983799	22075	1961724	110930	1872869	4720	1979079	6153	1977646	0.011127639443310538	0.055917963463032294	0.0023792733033941443	0.0031016247109712223	3.8612908868287565	19.403533321672207	0.825607836277768	1.076263774707014
KIRC	4938	1713486	40547	1672939	100755	1612731	4218	1709268	5861	1707625	0.023663455668736132	0.058801180750820255	0.0024616483589594545	0.0034205123356712574	8.211219117051439	20.404009720534628	0.8541919805589308	1.1869177804779263
LIHC	3687	1279389	25477	1253912	72458	1206931	3239	1276150	3975	1275414	0.0199134117926604	0.056634846790147485	0.0025316772303029026	0.00310695183403953	6.90995389205316	19.652291836181178	0.8784919989151071	1.0781122864117167
LUAD	4430	1537210	24153	1513057	85163	1452047	3589	1533621	4959	1532251	0.01571223190065118	0.055401018728735825	0.0023347493185706574	0.0032259743301175504	5.452144469525959	19.22415349887133	0.8101580135440181	1.1194130925507901
LUSC	6365	2208655	54220	2154435	120573	2088082	5246	2203409	7082	2201573	0.024548877031496545	0.054591142573195	0.0023752011971086475	0.0032064763396727875	8.518460329929301	18.943126472898665	0.8241948153967007	1.1126472898664572
PRAD	2401	833147	7013	826134	46254	786893	1979	831168	2645	830502	0.008417482149008518	0.05551721364897191	0.0023753311240393353	0.003174709865125842	2.920866305705956	19.264473136193253	0.8242399000416493	1.1016243231986673
READ	4664	1618408	34080	1584328	92020	1526388	4056	1614352	5574	1612834	0.02105773080706472	0.05685834474372346	0.0025061665537985476	0.0034441253379864658	7.307032590051458	19.72984562607204	0.869639794168096	1.1951114922813035
STAD	3472	1204784	17719	1187065	64653	1140131	2875	1201909	3902	1200882	0.014707200626834354	0.053663561269073956	0.002386319871445836	0.0032387548307414443	5.1033986175115205	18.621255760368662	0.8280529953917051	1.1238479262672811
THCA	2614	907058	3540	903518	53093	853965	1992	905066	2874	904184	0.00390272727874072	0.058533191923779954	0.0021961109432913884	0.0031684853669776353	1.35424636572303	20.311017597551643	0.7620504973221117	1.0994644223412395
UCEC	5476	1900172	16610	1883562	106100	1794072	4775	1895397	6397	1893775	0.008741313944211366	0.055837050540687896	0.002512930408405134	0.0033665373450403437	3.033235938641344	19.3754565376187	0.8719868517165814	1.1681884587289992
