Dataset	cutoff	DEG_orgin	target_and_related_path_num	cancer_path_gene_union	intersection(DEG_in_target_and_related_path)	Gsocre(enrich gene-path pairs) 	others	others_delNan	others_Nan	answer_set	answer_set_delNan	TP	FP	TN	FN	recall	precision	accuracy	TPR	FPR	Gscore_F0.5	Gscore_accuracy	enrich gene-path pairs 	others	others_delNan	others_Nan	answer_set	answer_set_delNan	TP	FP	TN	FN	recall	precision	accuracy	TPR	FPR	NEA_F0.5	NEA_accuracy
BLCA	0.01	4289	73	3443	864	714	58902	19825	39077	2341	2341	251	463	17735	2090	0.10721913712088851	0.35154061624649857	0.8756998880179171	0.10721913712088851	0.025442356302890427	0.2414854723879161	0.8756998880179171	8329	51287	24176	27111	2341	2213	1643	6686	23606	570	0.7424310890194307	0.1972625765398007	0.7767728041839717	0.7424310890194307	0.22071834147629737	0.23121956711418842	0.7767728041839717
BLCA	0.05	4289	73	3443	864	1702	57914	18837	39077	2341	2341	763	939	17259	1578	0.32592909013242205	0.4482961222091657	0.8774526510540922	0.32592909013242205	0.05159907682162875	0.41698546289211935	0.8774526510540922	9969	49647	22536	27111	2341	2213	1743	8226	22066	470	0.7876186172616357	0.17484201023171833	0.7324719273957853	0.7876186172616357	0.271556846692196	0.2070612273990829	0.7324719273957853
BLCA	0.1	4289	73	3443	864	2620	56996	17919	39077	2341	2341	1163	1457	16741	1178	0.4967962409226826	0.4438931297709924	0.8717074833244072	0.4967962409226826	0.08006374326849104	0.45355276499493025	0.8717074833244072	10926	48690	21579	27111	2341	2213	1789	9137	21155	424	0.8084048802530501	0.16373787296357312	0.7058606368251038	0.8084048802530501	0.3016307936088736	0.19480802317224555	0.7058606368251038
BRCA	0.01	4248	73	3443	905	566	61879	19409	42470	2504	2504	258	308	17163	2246	0.10303514376996806	0.4558303886925795	0.8721401752190238	0.10303514376996806	0.017629214126266383	0.2705536912751678	0.8721401752190238	8350	54095	24454	29641	2504	2363	1763	6587	23854	600	0.7460854845535336	0.21113772455089821	0.780910864528716	0.7460854845535336	0.21638579547321046	0.24648379610211674	0.780910864528716
BRCA	0.05	4248	73	3443	905	1402	61043	18573	42470	2504	2504	815	587	16884	1689	0.3254792332268371	0.5813124108416547	0.8860575719649562	0.3254792332268371	0.033598534714670024	0.5023422090729783	0.8860575719649562	10030	52415	22774	29641	2504	2363	1869	8161	22280	494	0.7909437156157427	0.18634097706879363	0.7361602243628825	0.7909437156157427	0.2680923754147367	0.21997034107760752	0.7361602243628825
BRCA	0.1	4248	73	3443	905	2142	60303	17833	42470	2504	2504	1177	965	16506	1327	0.4700479233226837	0.5494864612511672	0.8852565707133917	0.4700479233226837	0.05523438841508786	0.5315209537572254	0.8852565707133917	10997	51448	21807	29641	2504	2363	1918	9079	21362	445	0.8116800677105375	0.17441120305537874	0.7096695524935983	0.8116800677105375	0.2982490719752965	0.2068995275182844	0.7096695524935983
CESC	0.01	4149	73	3443	815	406	55829	10263	45566	2304	2304	217	189	8176	2087	0.09418402777777778	0.5344827586206896	0.7866716655731558	0.09418402777777778	0.022594142259414227	0.27622199592668023	0.7866716655731558	7790	48445	24532	23913	2304	2186	1609	6181	23955	577	0.7360475754803294	0.20654685494223363	0.7909164036878906	0.7360475754803294	0.20510353066100345	0.24125832183770166	0.7909164036878906
CESC	0.05	4149	73	3443	815	1335	54900	9334	45566	2304	2304	913	422	7943	1391	0.3962673611111111	0.6838951310861423	0.830068422532571	0.3962673611111111	0.05044829647340108	0.59720041862899	0.830068422532571	9288	46947	23034	23913	2304	2186	1704	7584	22552	482	0.7795059469350412	0.1834625322997416	0.7504486108532887	0.7795059469350412	0.2516591452083886	0.21658447302862374	0.7504486108532887
CESC	0.1	4149	73	3443	815	2037	54198	8632	45566	2304	2304	1322	715	7650	982	0.5737847222222222	0.648993618065783	0.840941044146593	0.5737847222222222	0.08547519426180514	0.6324148488327594	0.840941044146593	10185	46050	22137	23913	2304	2186	1754	8431	21705	432	0.8023787740164684	0.17221404025527737	0.7257904832621743	0.8023787740164684	0.2797650650384922	0.20430508316637935	0.7257904832621743
CHOL	0.01	6479	73	3443	1197	1084	81509	43860	37649	3251	3251	322	762	40931	2929	0.09904644724700093	0.29704797047970477	0.917875578497686	0.09904644724700093	0.01827644928405248	0.21220508764992752	0.917875578497686	10969	71624	34463	37161	3251	3077	2317	8652	33703	760	0.7530061748456288	0.21123165283982132	0.7928332452896637	0.7530061748456288	0.20427340337622477	0.24673609779992758	0.7928332452896637
