gene	UCEC	Rank
80723	7.31032705511403	1.0
64651	4.797612290258604	2.0
4609	4.737090686290167	3.0
389558	4.338826914123796	4.0
23645	4.067075701070862	5.0
3725	3.97072447754665	6.0
1958	3.96827099696446	7.0
9509	3.807980643666734	8.0
55143	3.7644685092613295	9.0
7272	3.712252816774119	10.0
7057	3.6629181193341394	11.0
55388	3.650269470760566	12.0
146909	3.5962381303659656	13.0
55355	3.5417921507975003	14.0
6790	3.409502303843392	15.0
9837	3.402709999997861	16.0
57167	3.326856053031938	17.0
5984	3.306708908397653	18.0
699	3.214603634553486	19.0
22974	3.184032799527227	20.0
9156	3.1818426260165253	21.0
57608	3.16766232628608	22.0
11130	3.147880644616972	23.0
79980	3.1330209008043126	24.0
81794	3.122655452602373	25.0
2353	3.0982135056927347	26.0
890	3.052630225188547	27.0
9787	3.039611072987237	28.0
1277	3.0275363569158533	29.0
7832	3.02287757241499	30.0
2335	3.006554088217813	31.0
79075	3.0048995337404083	32.0
10615	2.9946128143278843	33.0
995	2.958901148475636	34.0
55723	2.9561259494794	35.0
1033	2.950761727215664	36.0
29089	2.9359815534053624	37.0
10403	2.920708748817499	38.0
1289	2.8881087276453807	39.0
55872	2.8794870130960177	40.0
84722	2.86111820855968	41.0
9843	2.8596986149319434	42.0
113115	2.856808096982179	43.0
84627	2.853349089251509	44.0
283298	2.8431881146802174	45.0
5578	2.825814728632217	46.0
54478	2.815980764873194	47.0
9700	2.7951687154878364	48.0
83468	2.786062233770385	49.0
24137	2.7652711680322275	50.0
220134	2.751849372600041	51.0
64946	2.748871998538844	52.0
899	2.737197310478164	53.0
8318	2.730687127507707	54.0
1058	2.723994617393872	55.0
79827	2.719891226963377	56.0
5347	2.71885718318551	57.0
2919	2.7049563766375875	58.0
1300	2.703425867350639	59.0
5888	2.686423659456654	60.0
11339	2.6857738829315188	61.0
27074	2.684552593853526	62.0
146956	2.680403902069957	63.0
5999	2.679864811171273	64.0
641	2.657140389009997	65.0
983	2.65616975477302	66.0
467	2.6449966922487422	67.0
2921	2.6442893864998167	68.0
10721	2.64376257421546	69.0
387103	2.6427596824156456	70.0
147841	2.6381072660374256	71.0
2200	2.632740995968379	72.0
29127	2.6310500971470474	73.0
8840	2.628040437195136	74.0
118429	2.621913336415826	75.0
10024	2.6210404167982886	76.0
1281	2.617250173367882	77.0
26585	2.608136357191504	78.0
2305	2.607822412699315	79.0
1293	2.6071377024476696	80.0
4938	2.593822078193764	81.0
4605	2.589442893189009	82.0
84057	2.585333061802893	83.0
81792	2.57278274321741	84.0
8438	2.5710835411204718	85.0
1843	2.569847315990214	86.0
3576	2.563534595492448	87.0
1111	2.5489299939688084	88.0
9212	2.532176203669116	89.0
151648	2.5291506653060885	90.0
11259	2.5261431632685194	91.0
51512	2.522537661179264	92.0
11065	2.52053110310226	93.0
29028	2.502861381127598	94.0
81610	2.4954809258649915	95.0
84168	2.495346507605036	96.0
11167	2.4952398757837857	97.0
4288	2.489570918387717	98.0
55165	2.48571014085564	99.0
55635	2.4830201865919483	100.0
284297	2.4823029952266715	101.0
4998	2.481754073143594	102.0
55010	2.4815891514031194	103.0
3832	2.475278573593361	104.0
7124	2.459350151274041	105.0
57405	2.4544431317061504	106.0
9833	2.4458081477414564	107.0
78995	2.445143829725922	108.0
51053	2.442816495898613	109.0
891	2.4425648929902266	110.0
1030	2.439839119430234	111.0
9493	2.4389800608936776	112.0
7298	2.4364921983986108	113.0
221150	2.433659812720805	114.0
55247	2.4319082731818367	115.0
1634	2.4288072655053803	116.0
9133	2.4265316828906545	117.0
3833	2.421740609282088	118.0
1513	2.414384404376479	119.0
1278	2.408027009431682	120.0
115701	2.406160264074169	121.0
8914	2.4040307686790947	122.0
157313	2.3919469392965995	123.0
653820	2.3878295740207185	124.0
2177	2.3852293192136003	125.0
79000	2.3827464958474893	126.0
90381	2.3796920340255587	127.0
55215	2.3773690131541456	128.0
5111	2.371342617653113	129.0
22801	2.367296491244014	130.0
1062	2.365608129455165	131.0
1063	2.364201492971143	132.0
9088	2.3639927372574485	133.0
165	2.361873023651899	134.0
10460	2.355054388437776	135.0
990	2.3547277274052782	136.0
8317	2.3533540533236352	137.0
2064	2.351625980207336	139.0
84299	2.351625980207336	139.0
55876	2.351625980207336	139.0
4940	2.351391069415093	141.0
79172	2.3417547097687885	142.0
84952	2.338612453391708	143.0
23397	2.338100003935649	144.0
1870	2.336975250466087	145.0
56992	2.3241019845111217	146.0
993	2.320257647800812	147.0
22795	2.318656566225686	148.0
2146	2.31814130508222	149.0
90417	2.317767580709666	150.0
79968	2.303771532509051	151.0
10036	2.302666067903772	152.0
127435	2.3006978654801498	153.0
8638	2.2968638228718694	154.0
93323	2.294611989009731	155.0
51203	2.294139073241088	156.0
9824	2.2890941324514964	157.0
219654	2.286421462447346	158.0
27122	2.283222713801568	159.0
64151	2.2806180117112165	160.0
1045	2.2742846085167443	161.0
4599	2.270151887420431	162.0
701	2.26120762232284	163.0
83540	2.258434771233543	164.0
1869	2.257345257043614	165.0
4171	2.256026059949166	166.0
7058	2.2533795223302624	167.0
25770	2.246322710729647	168.5
100132354	2.246322710729647	168.5
57116	2.244920728788296	170.0
6934	2.2426326571259514	171.0
8208	2.24251394599806	172.0
1763	2.242362366824953	173.0
2253	2.237836513941824	174.0
10000	2.237641878457723	175.0
84935	2.230712667912418	176.0
6678	2.2256638135822	177.0
51339	2.2234781953065967	178.0
80119	2.2201674554159148	179.0
84296	2.2144929601979197	180.0
