DataSet	methods	p-value	(-log10 P)	TP	FN	FP	TN
GSE147507_NHBE	Gscore_fdrq	5.94E-05	4.226152254	13	4	90	240
GSE147507_NHBE	NEA_merged6	0.077187468	1.112453208	13	4	185	145
GSE147507_NHBE	ROntoTools	0.075118736	1.124251727	5	12	44	286
GSE147507_NHBE	SPIA	0.04177249	1.37910964	5	12	37	293
GSE147507_NHBE	PADOG	0.00436913	2.359605077	6	11	30	300
GSE147507_NHBE	GSA	0.398981556	0.399047181	1	16	9	321
GSE147507_NHBE	GSEA	0.04177249	1.37910964	5	12	37	293
GSE147507_NHBE	ORA	0.021219888	1.673256919	6	11	43	287
GSE160435	Gscore_fdrq	0.032361355	1.489973298	14	3	189	141
GSE160435	NEA_merged6	0.537240332	0.269831391	13	4	244	86
GSE160435	ROntoTools	0.002125167	2.672606902	12	5	108	222
GSE160435	SPIA	0.019825197	1.702782497	9	8	86	244
GSE160435	PADOG	0.038863538	1.41045766	4	13	24	306
GSE160435	GSA	1	0	0	17	2	328
GSE160435	GSEA	1	0	0	17	3	327
GSE160435	ORA	0.091399678	1.039055333	10	7	130	200
GSE157103	Gscore_fdrq	0.023390311	1.630964001	6	11	44	286
GSE157103	NEA_merged6	1	0	0	17	6	324
GSE157103	ROntoTools	0.080685183	1.09320621	2	15	8	322
GSE157103	SPIA	0.080685183	1.09320621	2	15	8	322
GSE157103	PADOG	1	0	0	17	23	307
GSE157103	GSA	1	0	0	17	2	328
GSE157103	GSEA	0.654804439	0.183888385	4	13	83	247
GSE157103	ORA	0.050474452	1.296928392	3	14	15	315
GSE150316	Gscore_fdrq	0.072067676	1.142259484	10	7	125	205
GSE150316	NEA_merged6	0.092265791	1.03495929	13	4	189	141
GSE150316	ROntoTools	0.182762432	0.738113073	1	16	3	327
GSE150316	SPIA	0.182762432	0.738113073	1	16	3	327
GSE150316	PADOG	0.91622904	0.037995947	1	16	45	285
GSE150316	GSA	1	0	0	17	17	313
GSE150316	GSEA	1	0	0	17	0	330
GSE150316	ORA	0.485670309	0.313658446	1	16	12	318
