adjp	Rank	methods_dataset	path_name	dataset	methods
1.80E-32	3	Gscore_fdrq_GSE157103	Coronavirus disease - COVID-19	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	Coronavirus disease - COVID-19	GSE157103	NEA_merged6
NA		ROntoTools_GSE157103	Coronavirus disease - COVID-19	GSE157103	ROntoTools
NA		SPIA_GSE157103	Coronavirus disease - COVID-19	GSE157103	SPIA
NA		PADOG_GSE157103	Coronavirus disease - COVID-19	GSE157103	PADOG
NA		GSA_GSE157103	Coronavirus disease - COVID-19	GSE157103	GSA
NA		GSEA_GSE157103	Coronavirus disease - COVID-19	GSE157103	GSEA
0.01260761	12	ORA_GSE157103	Coronavirus disease - COVID-19	GSE157103	ORA
NA		Gscore_fdrq_GSE157103	Neutrophil extracellular trap formation	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	Neutrophil extracellular trap formation	GSE157103	NEA_merged6
0.002131497	4	ROntoTools_GSE157103	Neutrophil extracellular trap formation	GSE157103	ROntoTools
0.002651286	4	SPIA_GSE157103	Neutrophil extracellular trap formation	GSE157103	SPIA
NA		PADOG_GSE157103	Neutrophil extracellular trap formation	GSE157103	PADOG
NA		GSA_GSE157103	Neutrophil extracellular trap formation	GSE157103	GSA
0.24282	115	GSEA_GSE157103	Neutrophil extracellular trap formation	GSE157103	GSEA
0.000184383	6	ORA_GSE157103	Neutrophil extracellular trap formation	GSE157103	ORA
1.13E-11	12	Gscore_fdrq_GSE157103	NOD-like receptor signaling pathway	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	NOD-like receptor signaling pathway	GSE157103	NEA_merged6
0.000145306	1	ROntoTools_GSE157103	NOD-like receptor signaling pathway	GSE157103	ROntoTools
3.95E-05	2	SPIA_GSE157103	NOD-like receptor signaling pathway	GSE157103	SPIA
NA		PADOG_GSE157103	NOD-like receptor signaling pathway	GSE157103	PADOG
NA		GSA_GSE157103	NOD-like receptor signaling pathway	GSE157103	GSA
NA		GSEA_GSE157103	NOD-like receptor signaling pathway	GSE157103	GSEA
6.38E-06	4	ORA_GSE157103	NOD-like receptor signaling pathway	GSE157103	ORA
1.97E-09	20	Gscore_fdrq_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	NEA_merged6
NA		ROntoTools_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	ROntoTools
NA		SPIA_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	SPIA
NA		PADOG_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	PADOG
NA		GSA_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	GSA
NA		GSEA_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	GSEA
NA		ORA_GSE157103	Cytosolic DNA-sensing pathway	GSE157103	ORA
NA		Gscore_fdrq_GSE157103	TNF signaling pathway	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	TNF signaling pathway	GSE157103	NEA_merged6
NA		ROntoTools_GSE157103	TNF signaling pathway	GSE157103	ROntoTools
NA		SPIA_GSE157103	TNF signaling pathway	GSE157103	SPIA
NA		PADOG_GSE157103	TNF signaling pathway	GSE157103	PADOG
NA		GSA_GSE157103	TNF signaling pathway	GSE157103	GSA
0.22717	90	GSEA_GSE157103	TNF signaling pathway	GSE157103	GSEA
NA		ORA_GSE157103	TNF signaling pathway	GSE157103	ORA
2.67E-10	16	Gscore_fdrq_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	NEA_merged6
NA		ROntoTools_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	ROntoTools
NA		SPIA_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	SPIA
NA		PADOG_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	PADOG
NA		GSA_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	GSA
NA		GSEA_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	GSEA
NA		ORA_GSE157103	RIG-I-like receptor signaling pathway	GSE157103	ORA
NA		Gscore_fdrq_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	NEA_merged6
NA		ROntoTools_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	ROntoTools
NA		SPIA_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	SPIA
NA		PADOG_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	PADOG
NA		GSA_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	GSA
NA		GSEA_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	GSEA
NA		ORA_GSE157103	Natural killer cell mediated cytotoxicity	GSE157103	ORA
0.001111562	39	Gscore_fdrq_GSE157103	JAK-STAT signaling pathway	GSE157103	Gscore_fdrq
NA		NEA_merged6_GSE157103	JAK-STAT signaling pathway	GSE157103	NEA_merged6
NA		ROntoTools_GSE157103	JAK-STAT signaling pathway	GSE157103	ROntoTools
NA		SPIA_GSE157103	JAK-STAT signaling pathway	GSE157103	SPIA
NA		PADOG_GSE157103	JAK-STAT signaling pathway	GSE157103	PADOG
NA		GSA_GSE157103	JAK-STAT signaling pathway	GSE157103	GSA
NA		GSEA_GSE157103	JAK-STAT signaling pathway	GSE157103	GSEA
NA		ORA_GSE157103	JAK-STAT signaling pathway	GSE157103	ORA
NA		Gscore_fdrq_GSE157103	Complement and coagulation cascades	GSE157103	Gscore_fdrq
