DataSet	methods	TP	FN	FP	TN	p	-log10P	gene	x
GSE157103	Gscore_fdrq	52	57	27	155	1.6554348559502522e-09	8.781087904768746	Top 5%	Gscore_fdrq_Top 5%
GSE157103	NEA_merged6	49	60	68	114	0.1241793076519497	0.9059507658443277	Top 5%	NEA_merged6_Top 5%
GSE150316	Gscore_fdrq	37	71	47	951	2.5920962554889082e-18	17.58634887531243	Top 5%	Gscore_fdrq_Top 5%
GSE150316	NEA_merged6	72	36	278	720	3.1255312780672134e-15	14.505076150632869	Top 5%	NEA_merged6_Top 5%
GSE157103	Gscore_fdrq	39	9	40	203	4.5999671343112144e-18	17.337245271239787	Top 1%	Gscore_fdrq_Top 1%
GSE157103	NEA_merged6	26	22	91	152	0.0236140233640674	1.626830011398619	Top 1%	NEA_merged6_Top 1%
GSE150316	Gscore_fdrq	31	22	53	1000	8.138684456790777e-24	23.0894457891316	Top 1%	Gscore_fdrq_Top 1%
GSE150316	NEA_merged6	40	13	310	743	2.2303334871691174e-11	10.651630194885051	Top 1%	NEA_merged6_Top 1%
GSE157103	Gscore_fdrq	10	7	69	205	0.0046424717233124	2.333250732810964	"DisGeNET &
UniProtKB"	"Gscore_fdrq_DisGeNET &
UniProtKB"
GSE157103	NEA_merged6	10	7	107	167	0.0883035440132624	1.0540218659069511	"DisGeNET &
UniProtKB"	"NEA_merged6_DisGeNET &
UniProtKB"
GSE150316	Gscore_fdrq	10	24	74	998	0.0001087905086933	3.963408992523157	"DisGeNET &
UniProtKB"	"Gscore_fdrq_DisGeNET &
UniProtKB"
GSE150316	NEA_merged6	19	15	331	741	0.0025599550334937	2.59176766315575	"DisGeNET &
UniProtKB"	"NEA_merged6_DisGeNET &
UniProtKB"
