	count	gene
0	98	OAS3
1	94	OASL
2	81	CMPK2
3	83	IFI44L
4	132	ISG15
5	88	IFI6
6	102	IFI44
7	101	RSAD2
8	36	GZMB
9	99	MX2
10	121	MX1
11	81	HERC6
12	112	IFIT1
13	30	LY86
14	51	SAMD9
15	72	HERC5
16	110	OAS1
17	121	IRF7
18	92	EPSTI1
19	107	IFIH1
20	32	FLRT3
21	112	IFIT3
22	3	SCNN1G
23	92	USP18
24	106	OAS2
25	0	RN7SL396P
26	76	IFITM1
27	12	CCL19
28	0	TMSB10P1
29	0	IGHV1-46
30	9	IL7
31	1	ANOS1
32	5	OTOF
33	87	XAF1
34	0	IGHGP
35	3	SLAMF1
36	14	S1PR4
37	107	IFIT2
38	3	H2BC8
39	5	NBPF11
40	25	CEACAM5
41	22	AQP3
42	0	RNVU1-7
43	64	IFI27
44	0	IGLV3-10
45	14	CADM1
46	0	SNORD14E
47	109	CXCL10
48	0	SNORA49
49	69	SAMD9L
50	11	PRSS16
51	13	SLC6A8
52	62	TNFSF10
53	27	DEPDC1B
54	7	RUFY4
55	12	ARVCF
56	85	IFI35
57	30	KIF2C
58	6	NME9
59	0	RNA5-8S5
60	14	SPTLC3
61	0	RNU11
62	2	BBS10
63	13	PRRT2
64	0	CLUHP3
65	53	SP110
66	0	LGALS13
67	9	CD80
68	11	COL5A3
69	0	IGHV4-34
70	14	ACP5
71	0	IGHV5-51
72	34	SLC2A1
73	74	PARP9
74	34	KIFC1
75	10	SCEL
76	5	HSF4
77	0	MZF1-AS1
78	0	LINC01138
79	3	EBF4
80	5	SCNN1B
81	15	TXLNB
82	14	CARD11
83	15	MCM8
