	detect	gene
0	0	OAS3
1	0	OASL
2	0	CMPK2
3	0	IFI44L
4	2	ISG15
5	0	IFI6
6	0	IFI44
7	0	RSAD2
8	0	GZMB
9	0	MX2
10	0	MX1
11	0	HERC6
12	3	IFIT1
13	0	LY86
14	0	SAMD9
15	0	HERC5
16	1	OAS1
17	1	IRF7
18	0	EPSTI1
19	1	IFIH1
20	0	FLRT3
21	3	IFIT3
22	0	SCNN1G
23	0	USP18
24	0	OAS2
25	0	RN7SL396P
26	1	IFITM1
27	0	CCL19
28	0	TMSB10P1
29	0	IGHV1-46
30	0	IL7
31	0	ANOS1
32	0	OTOF
33	0	XAF1
34	0	IGHGP
35	0	SLAMF1
36	0	S1PR4
37	3	IFIT2
38	0	H2BC8
39	0	NBPF11
40	3	CEACAM5
41	0	AQP3
42	0	RNVU1-7
43	0	IFI27
44	0	IGLV3-10
45	0	CADM1
46	0	SNORD14E
47	0	CXCL10
48	0	SNORA49
49	0	SAMD9L
50	0	PRSS16
51	0	SLC6A8
52	0	TNFSF10
53	0	DEPDC1B
54	0	RUFY4
55	3	ARVCF
56	0	IFI35
57	0	KIF2C
58	0	NME9
59	0	RNA5-8S5
60	0	SPTLC3
61	0	RNU11
62	0	BBS10
63	0	PRRT2
64	0	CLUHP3
65	0	SP110
66	0	LGALS13
67	0	CD80
68	0	COL5A3
69	0	IGHV4-34
70	0	ACP5
71	0	IGHV5-51
72	0	SLC2A1
73	0	PARP9
74	0	KIFC1
75	0	SCEL
76	0	HSF4
77	0	MZF1-AS1
78	0	LINC01138
79	0	EBF4
80	0	SCNN1B
81	0	TXLNB
82	0	CARD11
83	0	MCM8
