	hsa05171	hsa04621	hsa04613	hsa04622	hsa04668	hsa04144	hsa04650	hsa04620	hsa04670	hsa04666	hsa04611	hsa04610	hsa04614	hsa03015	hsa04623	hsa04270	hsa04630
OAS3	4.633186034058622	2.675116029141093	0.0	3.09412168683838	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
OASL	5.0044870312534275	2.3786088929391496	0.0	2.8840427605577097	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
CMPK2	4.478674824963848	2.5126713532156857	0.0	2.968733022391415	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI44L	5.066857458164956	2.279519188212347	0.0	2.2905412366574054	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ISG15	4.032371065895407	2.0857322464795134	0.0	2.6654558896955427	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI6	4.007103692046119	2.0415933102591075	0.0	2.629192614996738	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFI44	4.624731449290426	1.911926644421621	0.0	2.011123813553036	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
RSAD2	1.7276518777609753	4.232490428783716	0.0	1.6590184609625283	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
GZMB	0.0	3.1743890870797284	4.2732614416090176	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
MX2	4.503351195406845	2.4398132225954017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
MX1	4.503351195406845	2.4398132225954017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
HERC6	4.503351195406845	2.4398132225954017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
IFIT1	4.446212691797041	2.354102428662456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
LY86	3.6008702724029416	1.761918167523067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
SAMD9	2.345254447732274	2.955107121945353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
